Name,name_muni
CAROL,"['Araquari', 'Corupá', 'Guaramirim', 'Jaraguá Do Sul', 'Joinville', 'Luiz Alves', 'Massaranduba', 'Pomerode', 'Rio Dos Cedros', 'São João Do Itaperiú', 'Schroeder']"
CHAPECÓ,"['Ampére', 'Bela Vista Da Caroba', 'Boa Esperança Do Iguaçu', 'Bom Sucesso Do Sul', 'Clevelândia', 'Coronel Vivida', 'Dois Vizinhos', 'Enéas Marques', 'Flor Da Serra Do Sul', 'Francisco Beltrão', 'General Carneiro', 'Honório Serpa', ""Itapejara D'oeste"", 'Manfrinópolis', 'Mariópolis', 'Marmeleiro', 'Nova Esperança Do Sudoeste', 'Palmas', 'Pato Branco', 'Pinhal De São Bento', 'Renascença', 'Salgado Filho', 'Salto Do Lontra', 'Santa Izabel Do Oeste', 'Verê', 'Vitorino', 'Abelardo Luz', 'Água Doce', 'Águas De Chapecó', 'Águas Frias', 'Anchieta', 'Arabutã', 'Arroio Trinta', 'Arvoredo', 'Barra Bonita', 'Bom Jesus', 'Bom Jesus Do Oeste', 'Caibi', 'Campo Erê', 'Capinzal', 'Catanduvas', 'Caxambu Do Sul', 'Chapecó', 'Concórdia', 'Cordilheira Alta', 'Coronel Freitas', 'Coronel Martins', 'Cunha Porã', 'Cunhataí', 'Descanso', 'Entre Rios', 'Erval Velho', 'Faxinal Dos Guedes', 'Flor Do Sertão', 'Formosa Do Sul', 'Fraiburgo', 'Frei Rogério', 'Galvão', 'Guarujá Do Sul', 'Guatambú', ""Herval D'oeste"", 'Ibiam', 'Ibicaré', 'Iomerê', 'Ipira', 'Iporã Do Oeste', 'Ipuaçu', 'Ipumirim', 'Iraceminha', 'Irani', 'Irati', 'Itá', 'Jaborá', 'Jardinópolis', 'Joaçaba', 'Jupiá', 'Lacerdópolis', 'Lajeado Grande', 'Lindóia Do Sul', 'Luzerna', 'Macieira', 'Maravilha', 'Marema', 'Matos Costa', 'Modelo', 'Mondaí', 'Monte Carlo', 'Nova Erechim', 'Nova Itaberaba', 'Novo Horizonte', 'Ouro', 'Ouro Verde', 'Paial', 'Palma Sola', 'Palmitos', 'Passos Maia', 'Peritiba', 'Pinhalzinho', 'Pinheiro Preto', 'Piratuba', 'Planalto Alegre', 'Ponte Serrada', 'Presidente Castello Branco', 'Princesa', 'Quilombo', 'Rio Das Antas', 'Riqueza', 'Romelândia', 'Saltinho', 'Salto Veloso', 'Santa Helena', 'Santa Terezinha Do Progresso', 'Santiago Do Sul', 'São Bernardino', 'São Carlos', 'São Domingos', 'São João Do Oeste', 'São Lourenço Do Oeste', 'São Miguel Da Boa Vista', 'São Miguel Do Oeste', 'Saudades', 'Seara', 'Serra Alta', 'Sul Brasil', 'Tangará', 'Tigrinhos', 'Treze Tílias', 'União Do Oeste', 'Vargeão', 'Vargem Bonita', 'Videira', 'Xanxerê', 'Xavantina', 'Xaxim', 'Alpestre', 'Ametista Do Sul', 'Aratiba', 'Barão De Cotegipe', 'Barra Do Guarita', 'Barra Do Rio Azul', 'Benjamin Constant Do Sul', 'Boa Vista Das Missões', 'Bom Progresso', 'Braga', 'Caiçara', 'Cerro Grande', 'Constantina', 'Cristal Do Sul', 'Cruzaltense', 'Dois Irmãos Das Missões', 'Engenho Velho', 'Entre Rios Do Sul', 'Erval Grande', 'Erval Seco', 'Faxinalzinho', 'Frederico Westphalen', 'Gramado Dos Loureiros', 'Iraí', 'Itatiba Do Sul', 'Jaboticaba', 'Lajeado Do Bugre', 'Liberato Salzano', 'Mariano Moro', 'Miraguaí', 'Nonoai', 'Novo Tiradentes', 'Novo Xingu', 'Palmitinho', 'Pinhal', 'Pinheirinho Do Vale', 'Planalto', 'Ponte Preta', 'Redentora', 'Rio Dos Índios', 'Rodeio Bonito', 'Sagrada Família', 'São José Das Missões', 'São Pedro Das Missões', 'São Valentim', 'Seberi', 'Severiano De Almeida', 'Taquaruçu Do Sul', 'Tenente Portela', 'Três Arroios', 'Três Palmeiras', 'Trindade Do Sul', 'Vicente Dutra', 'Vista Alegre', 'Vista Gaúcha']"
EDUARDO,"['Abdon Batista', 'Águas Mornas', 'Alfredo Wagner', 'Angelina', 'Anitápolis', 'Antônio Carlos', 'Araranguá', 'Armazém', 'Balneário Arroio Do Silva', 'Balneário Gaivota', 'Biguaçu', 'Bocaina Do Sul', 'Bom Retiro', 'Braço Do Norte', 'Campo Belo Do Sul', 'Capivari De Baixo', 'Cocal Do Sul', 'Correia Pinto', 'Criciúma', 'Ermo', 'Forquilhinha', 'Grão-Pará', 'Gravatal', 'Içara', 'Imaruí', 'Lauro Müller', 'Maracajá', 'Meleiro', 'Morro Da Fumaça', 'Orleans', 'Painel', 'Palhoça', 'Palmeira', 'Passo De Torres', 'Pedras Grandes', 'Pescaria Brava', 'Rancho Queimado', 'Rio Fortuna', 'Rio Rufino', 'Sangão', 'Santa Rosa De Lima', 'Santa Rosa Do Sul', 'Santo Amaro Da Imperatriz', 'São Bonifácio', 'São José', 'São José Do Cerrito', 'São Ludgero', 'São Martinho', 'São Pedro De Alcântara', 'Siderópolis', 'Sombrio', 'Treviso', 'Treze De Maio', 'Tubarão', 'Turvo', 'Urubici', 'Urupema', 'Urussanga', 'Vargem', 'Balneário Rincão']"
FABIO,"['Agronômica', 'Apiúna', 'Ascurra', 'Aurora', 'Bela Vista Do Toldo', 'Botuverá', 'Brusque', 'Camboriú', 'Dona Emma', 'Guabiruba', 'Ibirama', 'Laurentino', 'Lontras', 'Major Vieira', 'Mirim Doce', 'Monte Castelo', 'Nova Trento', 'Presidente Getúlio', 'Presidente Nereu', 'Rio Do Campo', 'Rio Do Oeste', 'Rio Do Sul', 'Salete', 'Santa Terezinha', 'Taió', 'Timbó Grande', 'Trombudo Central', 'Vitor Meireles', 'Witmarsum']"
JULIANO,"['Abatiá', 'Altamira Do Paraná', 'Alto Paraná', 'Alto Piquiri', 'Amaporã', 'Anahy', 'Andirá', 'Ângulo', 'Apucarana', 'Arapongas', 'Arapuã', 'Araruna', 'Ariranha Do Ivaí', 'Assaí', 'Assis Chateaubriand', 'Astorga', 'Atalaia', 'Bandeirantes', 'Barbosa Ferraz', 'Barra Do Jacaré', 'Bela Vista Do Paraíso', 'Boa Esperança', 'Bom Sucesso', 'Borrazópolis', 'Braganey', 'Brasilândia Do Sul', 'Cafeara', 'Cafelândia', 'Cafezal Do Sul', 'Califórnia', 'Cambé', 'Cambira', 'Campina Da Lagoa', 'Campina Do Simão', 'Campo Bonito', 'Campo Mourão', 'Cantagalo', 'Cascavel', 'Catanduvas', 'Cianorte', 'Cidade Gaúcha', 'Colorado', 'Congonhinhas', 'Conselheiro Mairinck', 'Corbélia', 'Cornélio Procópio', 'Corumbataí Do Sul', 'Cruzeiro Do Oeste', 'Cruzeiro Do Sul', 'Cruzmaltina', 'Diamante Do Sul', ""Diamante D'oeste"", 'Douradina', 'Doutor Camargo', 'Engenheiro Beltrão', 'Esperança Nova', 'Espigão Alto Do Iguaçu', 'Farol', 'Faxinal', 'Fênix', 'Figueira', 'Floraí', 'Floresta', 'Florestópolis', 'Flórida', 'Formosa Do Oeste', 'Francisco Alves', 'Foz Do Jordão', 'Godoy Moreira', 'Goioerê', 'Goioxim', 'Grandes Rios', 'Guairaçá', 'Guapirama', 'Guaporema', 'Guaraci', 'Guaraniaçu', 'Ibema', 'Ibiporã', 'Iguaraçu', 'Iguatu', 'Indianópolis', 'Iporã', 'Iracema Do Oeste', 'Iretama', 'Itaguajé', 'Itambé', 'Itaúna Do Sul', 'Ivaiporã', 'Ivaté', 'Ivatuba', 'Jaguapitã', 'Jandaia Do Sul', 'Janiópolis', 'Japurá', 'Jardim Alegre', 'Jataizinho', 'Jesuítas', 'Joaquim Távora', 'Jundiaí Do Sul', 'Juranda', 'Jussara', 'Kaloré', 'Laranjal', 'Laranjeiras Do Sul', 'Leópolis', 'Lidianópolis', 'Lindoeste', 'Loanda', 'Lobato', 'Londrina', 'Luiziana', 'Lunardelli', 'Mamborê', 'Mandaguaçu', 'Mandaguari', 'Manoel Ribas', 'Maria Helena', 'Marialva', 'Marilândia Do Sul', 'Mariluz', 'Maringá', 'Maripá', 'Marquinho', 'Marumbi', 'Mato Rico', 'Mauá Da Serra', 'Medianeira', 'Mirador', 'Miraselva', 'Missal', 'Moreira Sales', 'Munhoz De Melo', 'Nossa Senhora Das Graças', 'Nova Aliança Do Ivaí', 'Nova América Da Colina', 'Nova Aurora', 'Nova Cantu', 'Nova Esperança', 'Nova Fátima', 'Nova Laranjeiras', 'Nova Londrina', 'Nova Olímpia', 'Nova Santa Bárbara', 'Nova Santa Rosa', 'Nova Tebas', 'Novo Itacolomi', 'Ourizona', 'Ouro Verde Do Oeste', 'Paiçandu', 'Palmital', 'Palotina', 'Paraíso Do Norte', 'Paranacity', 'Peabiru', 'Perobal', 'Pérola', 'Pitanga', 'Pitangueiras', 'Planaltina Do Paraná', 'Prado Ferreira', 'Presidente Castelo Branco', 'Primeiro De Maio', 'Quarto Centenário', 'Quatiguá', 'Quatro Pontes', 'Quinta Do Sol', 'Ramilândia', 'Rancho Alegre', ""Rancho Alegre D'oeste"", 'Ribeirão Do Pinhal', 'Rio Bom', 'Rio Branco Do Ivaí', 'Rolândia', 'Roncador', 'Rondon', 'Rosário Do Ivaí', 'Sabáudia', 'Santa Amélia', 'Santa Cecília Do Pavão', 'Santa Cruz De Monte Castelo', 'Santa Fé', 'Santa Isabel Do Ivaí', 'Santa Lúcia', 'Santa Maria Do Oeste', 'Santa Mônica', 'Santa Tereza Do Oeste', 'Santa Terezinha De Itaipu', 'Santo Antônio Da Platina', 'Santo Antônio Do Paraíso', 'São Carlos Do Ivaí', 'São Jerônimo Da Serra', 'São João Do Caiuá', 'São João Do Ivaí', 'São Jorge Do Ivaí', 'São José Das Palmeiras', 'São Manoel Do Paraná', 'São Pedro Do Iguaçu', 'São Pedro Do Ivaí', 'São Sebastião Da Amoreira', 'São Tomé', 'Sapopema', 'Sarandi', 'Sertanópolis', 'Tamarana', 'Tamboara', 'Tapejara', 'Tapira', 'Terra Boa', 'Terra Roxa', 'Toledo', 'Tuneiras Do Oeste', 'Tupãssi', 'Ubiratã', 'Umuarama', 'Uniflor', 'Uraí', 'Vera Cruz Do Oeste', 'Virmond', 'Xambrê']"
ROBSON,"['Colombo', 'Pinhais', 'Piraquara']"
RS METROPOLITANA - Ana,"['Alvorada', 'Bom Retiro Do Sul', 'Cachoeirinha', 'Canoas', 'Capela De Santana', 'Esteio', 'Fazenda Vilanova', 'Glorinha', 'Gravataí', 'Montenegro', 'Nova Santa Rita', 'Pareci Novo', 'Paverama', 'São Leopoldo', 'Sapucaia Do Sul', 'Tabaí', 'Taquari']"
RS NORTE - Antonio,"['Água Santa', 'Ajuricaba', 'Alegria', 'Almirante Tamandaré Do Sul', 'Alto Alegre', 'Alto Feliz', 'André Da Rocha', 'Anta Gorda', 'Antônio Prado', 'Arroio Do Meio', 'Arroio Do Tigre', 'Arvorezinha', 'Augusto Pestana', 'Áurea', 'Barão', 'Barros Cassal', 'Bento Gonçalves', 'Boa Vista Do Buricá', 'Boa Vista Do Cadeado', 'Boa Vista Do Incra', 'Boa Vista Do Sul', 'Bom Princípio', 'Boqueirão Do Leão', 'Bossoroca', 'Bozano', 'Cacique Doble', 'Caibaté', 'Camargo', 'Campestre Da Serra', 'Campina Das Missões', 'Campos Borges', 'Candelária', 'Cândido Godói', 'Canela', 'Canudos Do Vale', 'Capão Bonito Do Sul', 'Capão Do Cipó', 'Capitão', 'Carazinho', 'Caraá', 'Carlos Barbosa', 'Carlos Gomes', 'Casca', 'Caseiros', 'Catuípe', 'Caxias Do Sul', 'Centenário', 'Cerro Branco', 'Cerro Largo', 'Chapada', 'Charrua', 'Chiapetta', 'Ciríaco', 'Colinas', 'Colorado', 'Condor', 'Coqueiro Baixo', 'Coqueiros Do Sul', 'Coronel Barros', 'Coronel Pilar', 'Cotiporã', 'Coxilha', 'Crissiumal', 'Cruz Alta', 'David Canabarro', 'Dezesseis De Novembro', 'Dois Irmãos', 'Dois Lajeados', 'Dona Francisca', 'Doutor Maurício Cardoso', 'Doutor Ricardo', 'Encantado', 'Entre-Ijuís', 'Erebango', 'Ernestina', 'Esperança Do Sul', 'Espumoso', 'Estação', 'Estrela Velha', 'Eugênio De Castro', 'Fagundes Varela', 'Farroupilha', 'Faxinal Do Soturno', 'Feliz', 'Flores Da Cunha', 'Floriano Peixoto', 'Fontoura Xavier', 'Forquetinha', 'Fortaleza Dos Valos', 'Garibaldi', 'Gentil', 'Getúlio Vargas', 'Giruá', 'Gramado', 'Gramado Xavier', 'Guabiju', 'Guaporé', 'Guarani Das Missões', 'Herveiras', 'Horizontina', 'Ibarama', 'Ibiaçá', 'Ibiraiaras', 'Ibirapuitã', 'Ibirubá', 'Igrejinha', 'Ijuí', 'Ilópolis', 'Imigrante', 'Independência', 'Inhacorá', 'Ipê', 'Ipiranga Do Sul', 'Itaara', 'Itacurubi', 'Itapuca', 'Itaqui', 'Ivorá', 'Ivoti', 'Jacuizinho', 'Jaguari', 'Jaquirana', 'Jari', 'Jóia', 'Júlio De Castilhos', 'Lagoa Bonita Do Sul', 'Lagoão', 'Lagoa Dos Três Cantos', 'Lagoa Vermelha', 'Lindolfo Collor', 'Linha Nova', 'Maçambará', 'Manoel Viana', 'Marau', 'Marques De Souza', 'Mata', 'Mato Castelhano', 'Mato Queimado', 'Montauri', 'Monte Alegre Dos Campos', 'Monte Belo Do Sul', 'Mormaço', 'Morrinhos Do Sul', 'Morro Reuter', 'Muçum', 'Muitos Capões', 'Muliterno', 'Não-Me-Toque', 'Nicolau Vergueiro', 'Nova Alvorada', 'Nova Araçá', 'Nova Bassano', 'Nova Boa Vista', 'Nova Bréscia', 'Nova Candelária', 'Nova Esperança Do Sul', 'Nova Hartz', 'Nova Pádua', 'Nova Palma', 'Nova Petrópolis', 'Nova Prata', 'Nova Ramada', 'Nova Roma Do Sul', 'Paim Filho', 'Panambi', 'Paraí', 'Passa Sete', 'Passo Do Sobrado', 'Passo Fundo', 'Pejuçara', 'Picada Café', 'Pinhal Grande', 'Pinto Bandeira', 'Pontão', 'Porto Vera Cruz', 'Pouso Novo', 'Presidente Lucena', 'Progresso', 'Protásio Alves', 'Putinga', 'Quevedos', 'Quinze De Novembro', 'Relvado', 'Riozinho', 'Roca Sales', 'Rolador', 'Rolante', 'Saldanha Marinho', 'Salto Do Jacuí', 'Salvador Das Missões', 'Salvador Do Sul', 'Sananduva', 'Santa Bárbara Do Sul', 'Santa Cecília Do Sul', 'Santa Cruz Do Sul', 'Santa Maria Do Herval', 'Santa Rosa', 'Santa Tereza', 'Santiago', 'Santo Ângelo', 'Santo Antônio Do Palma', 'Santo Antônio Das Missões', 'Santo Antônio Do Planalto', 'Santo Cristo', 'Santo Expedito Do Sul', 'São Domingos Do Sul', 'São Francisco De Assis', 'São Francisco De Paula', 'São João Da Urtiga', 'São João Do Polêsine', 'São Jorge', 'São José Do Herval', 'São José Do Hortêncio', 'São José Do Inhacorá', 'São José Do Ouro', 'São Luiz Gonzaga', 'São Marcos', 'São Martinho Da Serra', 'São Miguel Das Missões', 'São Nicolau', 'São Paulo Das Missões', 'São Pedro Da Serra', 'São Pedro Do Butiá', 'São Pedro Do Sul', 'São Valentim Do Sul', 'São Valério Do Sul', 'São Vendelino', 'São Vicente Do Sul', 'Segredo', 'Selbach', 'Senador Salgado Filho', 'Serafina Corrêa', 'Sério', 'Sertão', 'Sete De Setembro', 'Silveira Martins', 'Sinimbu', 'Sobradinho', 'Soledade', 'Tapejara', 'Tapera', 'Tio Hugo', 'Toropi', 'Travesseiro', 'Três Coroas', 'Três De Maio', 'Tucunduva', 'Tunas', 'Tupanci Do Sul', 'Tupanciretã', 'Tupandi', 'Tuparendi', 'Ubiretama', 'União Da Serra', 'Unistalda', 'Vale Verde', 'Vale Do Sol', 'Vale Real', 'Vanini', 'Vera Cruz', 'Veranópolis', 'Vespasiano Corrêa', 'Victor Graeff', 'Vila Flores', 'Vila Lângaro', 'Vila Maria', 'Vista Alegre Do Prata', 'Vitória Das Missões']"
RS SUL - Rodrigo,"['Aceguá', 'Amaral Ferrador', 'Arambaré', 'Arroio Do Sal', 'Arroio Do Padre', 'Arroio Grande', 'Barão Do Triunfo', 'Barra Do Ribeiro', 'Caçapava Do Sul', 'Camaquã', 'Candiota', 'Canguçu', 'Capão Da Canoa', 'Capão Do Leão', 'Cerrito', 'Cerro Grande Do Sul', 'Chuvisca', 'Cristal', 'Dom Feliciano', 'Herval', 'Formigueiro', 'Guaíba', 'Hulha Negra', 'Imbé', 'Lavras Do Sul', 'Mariana Pimentel', 'Morro Redondo', 'Pedras Altas', 'Pedro Osório', 'Pelotas', 'Pinheiro Machado', 'Piratini', 'Santa Margarida Do Sul', 'Santana Da Boa Vista', 'São Lourenço Do Sul', 'São Sepé', 'Sentinela Do Sul', 'Sertão Santana', 'Tapes', 'Terra De Areia', 'Turuçu', 'Vila Nova Do Sul', 'Xangri-Lá']"
SAMUEL,"['Arapoti', 'Balsa Nova', 'Campo Do Tenente', 'Carambeí', 'Castro', 'Contenda', 'Fernandes Pinheiro', 'Guamiranga', 'Imbaú', 'Imbituva', 'Inácio Martins', 'Ipiranga', 'Irati', 'Ivaí', 'Jaguariaíva', 'Mallet', 'Palmeira', 'Piraí Do Sul', 'Ponta Grossa', 'Porto Amazonas', 'Quitandinha', 'Rebouças', 'Rio Azul', 'São João Do Triunfo', 'São José Da Boa Vista', 'Teixeira Soares', 'Tibagi', 'Tunas Do Paraná', 'Wenceslau Braz', 'Ventania']"
